Cím;Eredeti cím;Műfaj;Készítés éve;Gyártó országok;Rendező;Szereplők;Magyar korhatárbesorolások
Csipkerózsika;Sleeping Beauty;animáció;1959;USA;Clyde Geronimi;Bill Shirley/Mary Costa/Eleanor Audley;I (2008, F/7672/A, INTERCOM, 72 perc) / I (1995, 75 perc)
Csizmadombi fenegyerek;La collina degli stivali;vígjáték;1969;Olaszország;Giuseppe Colizzi;Terence Hill/Woody Strode/Bud Spencer;II (2005, F/2035/J)
Csizmás kandur mesebeli kalandjai;;mese;;;;;I (2005, F/3056/A, BEST HOLLYWOOD KFT.)
Csizmás kandúr;Puss in Boots;animáció;1999;USA;Phil Nibbelink;Vivian Schilling/Dan Haggerty/Michael York;I (F/3426/A)
Csizmás Kandúr ;Nagagutsu o haita neko;animáció;1969;Japán;Kimio Yabuki;Toshiko Fujita/Susumu Ishikawa/Rumi Sakakibara;I (2008, F/8591/A, Black Mirror Kft., 80 perc)
Csíksomlyó Csodás kegyhelyek;;dokumentum;2008;Magyarország;;;I (2008, F/7863/D, Etalon Film, 114 perc)
Csobbanás;Splash;romantikus - vígjáték;1984;USA;Ron Howard;John Candy/Daryl Hannah/Tom Hanks;Korhatár nélkül (1996, INTERCOM, 105 perc)
Csocsó;Csocsó;szatíra;2001;Magyarország;Koltai Róbert;Koltai Róbert/Gáspár Sándor/Kern András;II (2005, F/2449/J) / Korhatár nélkül (2001, BUDAPEST FILM, 91 perc)
Csoda a 8. utcában;Batteries not Included;vígjáték;1987;USA;Matthew Robbins;Hume Cronyn/Jessica Tandy/Frank McRae;II (2009, F/8748/J, UNIVERSAL PICTURES H. KFT., 102 perc)
Csoda a jégen;Miracle;filmdráma;2004;USA;Gavin O'Connor;Noah Emmerich/Kurt Russell/Patricia Clarkson;I (2004, F/0362/J, INTERCOM, 130 perc)
Csodabogarak;Minuscule;animáció;2006;Franciaország;Hélene Giraud/Thomas Szabo;;I (2008, F/8799/A, MIRAX, 70 perc)
Csodacsibe;Chicken little;animáció;2005;USA;Mark Dindal;;I (2005, F/1868/A, 77 perc)
Csodacsuka 2;Like mike 2. Streetball;családi;2006;USA;David Nelson;Jascha Washington/Kel Mitchell/Michael Beach;II (2006, F/4064/J)
Csodahús;A Marvada Carne;szatíra;1985;Brazília;André Klotzel;Fernanda Torres/Adilson Barros/Dionisi Azavedo;Korhatár nélkül (1990, MOKÉP, 77 perc)
Csoda játékország;Miracle in Toyland;animáció;2005;USA;Diane Eskenazi;;I (2005, F/1345/A)
Csodakavics;Shorts;családi;2009;USA/United Arab Emirates;Robert Rodriguez;Trevor Gagnon/Jimmy Bennett/Kat Dennings;II (2010, F/9896/J, Pro Video Film, 89 perc)
Csoda krakkóban;;filmdráma;2004;Magyarország;Diana Groó;Pawel Gedlek/Maciej Adamczyk/Franciszek Pieczka;I (2004, F/0434/J, HUNGARICOM KFT., 95 perc)
Csodakutyák 2;Miracle Dogs too;családi;2006;USA;Richard Gabai;Janine Turner/Patrick Muldoon/Dustin Hunter Evans;I (2006, F/4248/J)
Csoda manilában;Csoda Manilában;dokumentum;1990;Magyarország;Czencz József;;14 éven aluliaknak nem ajánlott (1990, M.I.T., 100 perc)
Csoda New Yorkban;Miracle on 34th Street;családi;1994;USA;Les Mayfield;Sir Richard Attenborough/Dylan McDermott/Elizabeth Perkins;Korhatár nélkül (1994, INTERCOM, 114 perc)
Csodák utcája;El Callejón de los milagros;filmdráma;1995;Mexikó;Jorge Fons;María Rojo/Ernesto Gómez Cruz/Salma Hayek;III (2006, F/3882/J)
Csodálatos júlia;Being Julia;filmdráma;2004;Magyarország/Kanada/USA/Nagy-Britannia;Szabó István;Anette Bening/Jeremy Irons/Michael Gambon;II (2004, F/0269/J, INTERCOM) / II (2004, F/0269/J, INTERCOM, 105 perc)
Csodálatos mandarin;Csodálatos mandarin;filmdráma;2000;Magyarország;Mészáros Márta;Bozsik Yvette/Zhang Yu Jung/Jan Nowicki;14 éven aluliaknak nem ajánlott (2001, BUDAPEST FILM, 35 perc)
Csodálatos utazás: The Who együttes története;Amazing Journey: The Story of The Who;dokumentum;2007;Nagy-Britannia/USA;Parris Patton/Murray Lerner/Paul Crowder;;II (2008, F/7729/J, UNIVERSAL PICTURES H. KFT., 237 perc)
Csodálatos világ;Wonderful world;romantikus - dráma;2009;USA;Joshua Goldin;Sanaa Lathan/Matthew Broderick/Michael K. Williams;II (F/9803/J)
Csodás álmok jönnek;What Dreams May Come;romantikus - dráma;1998;USA/Új-Zéland;Vincent Ward;Cuba Gooding Jr./Annabella Sciorra/Robin Williams;14 éven aluliaknak nem ajánlott (1999, BUDAPEST FILM, 113 perc) / II (2008, F/6770/J, ADS Service Kft., 113 perc)
Csokoládé;Chocolat;romantikus - dráma;2000;USA/Nagy-Britannia;Lasse Hallström;Juliette Binoche/Judi Dench/Johnny Depp;Korhatár nélkül (2001, UIP DUNA FILM KFT., 121 perc) / II (2008, F/7016/J, Soundcard, 121 perc)
Csontdaráló;The Longest Yard;vígjáték;2005;USA;Peter Segal;Adam Sandler/Chris Rock/Burt Reynolds;II (2005, F/1401/J) / II (2005, F/1401/J, 113 perc)
Csonthülye;Mr. Bones;vígjáték;2001;Dél-Afrika;Gray Hofmeyr;David Ramsey/Leon Schuster/Faizon Love;14 éven aluliaknak nem ajánlott (2002, SPI INTERNATIONAL MO. KFT., 110 perc)
Csonttörő;Bruiser;horror;2000;Franciaország/Kanada/USA;George A. Romero;Peter Stormare/Leslie Hope/Jason Flemyng;IV (2005, F/1919/J)
Csontváry;Csontváry;filmdráma;1979;Magyarország;Huszárik Zoltán;Drahota Andrea/Ichak Finci/Dayka Margit;14 éven aluliaknak nem ajánlott (1980, MOKÉP, 111 perc)
Csók, anyu;Csók, anyú;szatíra;1986;Magyarország;Rózsa János;Koltai Róbert/Gáspár Sándor/Udvaros Dorottya;14 éven aluliaknak nem ajánlott (1987, MOKÉP, 106 perc)
Csókkal és körömmel;Csókkal és körömmel;filmdráma;1994;Magyarország;Szomjas György;Kámán Bea/Bakos Ildikó/Papp Beáta;Csak 16 éven felülieknek (1995, BUDAPEST FILM, 90 perc)
Csók, macsók!;Splendor;romantikus - dráma;1999;USA;Gregg Araki;Matt Keeslar/Jonathan Schaech/Kathleen Robertson;Csak 16 éven felülieknek (2000, INTERCOM, 93 perc)
Csöbörből vödörbe;Trainwreck: My Life as an Idoit;vígjáték;2007;USA;Tod Harrison Williams;Tonye Patano/Aaron Stephens/Seann William Scott;II (2008, F/7619/J, Intersonic, 90 perc)
Csőre töltve;Loose Cannons;akció;1990;USA;Bob Clark;Dom DeLuise/Dan Aykroyd/Gene Hackman;14 éven aluliaknak nem ajánlott (1990, INTERCOM, 98 perc)
Csőrike és szilveszter gyűjteménye;Looney Tunes - Best of Tweety & Sylvester;animáció;2005;USA;több rendező;;I (2005, F/0524/A, WARNER HOME VIDEO)
Csőstül a baj;Double Trouble;zenés;1967;USA;Norman Taurog;Elvis Presley/Annette Day/John Williams;II (2005, F/2403/J)
Csudafilm;;romantikus - vígjáték;2005;Magyarország;Ragályi Elemér;Kern András/Katerina Didaszkalu/Rudolf Péter;II (2005, F/0984/J, HUNGARICOM KFT., 90 perc)
Csulandra;Ciuleandra;társadalmi dráma;1984;Románia;Sergiu Nicolaescu;Stefan Iordache/Iona Ritiu/Gheorghe Cozorici;Korhatár nélkül (1987, MOKÉP, 120 perc)
Csunking expressz;Chong qing sen lin;filmdráma;1994;Taiwan;Wong Kar-vaj;Takesi Kanesiro/Csing-hszia/Brigitte Lin;14 éven aluliaknak nem ajánlott (1996, BUDAPEST FILM, 103 perc)
Csupasz pisztoly;The Naked Gun: From the Files of Police Squad!;vígjáték;1988;USA;David Zucker;Ricardo Montalban/Leslie Nielsen/Priscilla Presley;14 éven aluliaknak nem ajánlott (1989, DUNA FILM, 86 perc)
Csupasz pisztoly 2 1/2;The Naked Gun 2 1/2: The Smell of Fear;vígjáték;1991;USA;David Zucker;Leslie Nielsen/Priscilla Presley/George Kennedy;Korhatár nélkül (1991, DUNA FILM, 90 perc)
Csupasz pisztoly 33 1/3;Naked Gun 33 1/3: The Final Insult;vígjáték;1994;USA;Peter Segal;Leslie Nielsen/George Kennedy/Priscilla Presley;Korhatár nélkül (1994, UIP DUNA FILM KFT., 87 perc)
Csupasz pisztoly 33 1/3  A végső sértés;Naked Gun 33 1/3 The Final Insult;;;;;;II (F/10800J)
Csupasz pisztoly a (z)űrben;2001: A Space Travesty;vígjáték;2000;Németország/Kanada;Allan A. Goldstein;Ezio Greggio/Ophélie Winter/Leslie Nielsen;I (F/2605/J)
Csúcsfejek;Coneheads;vígjáték;1993;USA;Steve Barron;Dan Aykroyd/Michelle Burke/Jane Curtin;Korhatár nélkül (1994, FLAMEX, 88 perc)
Csúcsformában;Rush Hour;akció - vígjáték;1998;USA;Brett Ratner;Tom Wilkinson/Chris Tucker/Jackie Chan;14 éven aluliaknak nem ajánlott (1999, FLAMEX, 97 perc)
Csúcsformában 2;Rush Hour 2;akció - vígjáték;2001;Hong Kong/USA;Brett Ratner;Chris Tucker/John Lone/Jackie Chan;14 éven aluliaknak nem ajánlott (2001, INTERCOM, 90 perc)
