Cím;Eredeti cím;Műfaj;Készítés éve;Gyártó országok;Rendező;Szereplők;Magyar korhatárbesorolások
Hegedűs a háztetőn;Fiddler on the Roof;zenés;1971;USA;Norman Jewison;Topol/Torma Grane/Leonard Frey;II (F/6929/J) / Korhatár nélkül (1986, MAGYAR FILMTUDOMÁNYI INTÉZET /Filmmúzeum/, 181 perc)
Hegyi emberek;The Mountain Men;kaland;1980;USA;Richard Lang;Brian Keith/Charlton Heston/Victoria Racimo;14 éven aluliaknak nem ajánlott (1982, MOKÉP, 102 perc)
Hegylakó;Highlander;kaland;1986;Nagy-Britannia/USA;Russell Mulcahy;Christopher Lambert/Sean Connery/Roxane Hart;III (2004, F/0172/J, INTERCOM) / Csak 16 éven felülieknek (1989, MOKÉP, 118 perc)
Hegylakó 2 - A renegát (rendezői változat);Highlander II: The Quickening ;akció - fantasy;1991;Franciaország/Nagy-Britannia/Argentína;Russell Mulcahy;Virginia Madsen/Sean Connery/Christopher Lambert;III (2008, F/7473/J, FF Film & Music, 91 perc)
Hegylakó 3;Highlander III: The Sorcerer;fantasy;1994;Kanada/Nagy-Britannia/Franciaország;Andrew Morahan;Deborah Kara Unger/Mario Van Peebles/Christopher Lambert;III (1995) / III (2007, F/10098/J, Soundcard, 106 perc)
Hegylakó 3 - A mágus;Highlander 3.;kaland;1994;Franciaország/Kanada;Andy Morahan;Mario Van Peebles/Christopher Lambert/Deborah Unger;Csak 16 éven felülieknek (1995, FLAMEX, 110 perc)
Hegylakó 4 - A játszma vége;Highlander: Endgame;kaland;2000;USA;Douglas Aarniokoski;Bruce Payne/Adrian Paul/Christopher Lambert;III (2006, F/3007/J) / 14 éven aluliaknak nem ajánlott (2001, MOKÉP, 87 perc)
Hegylakó 5.: A forrás;Highlander: The Source;akció;2007;USA/Nagy-Britannia;Brett Leonard;Thekla Reuten/Adrian Paul/Peter Wingfield;III (2008, F/6181/J, Intersonic, 102 perc)
Heidi;Heidi;családi;1993;USA;Michael Ray Rhodes;Jane Seymour/Jason Robards/Noley Thornton;I (2009, F/9075/J, Etalon Film Kft., 193 perc)
Heidi, a hegyek lánya;Heidi Kindheit in den Bergen;animáció;1993;Japán;Isao Takahata;;I (2010, F/7937/A, Domino-CEP Kft., 90 perc)
Heidi és Clara - egy nyár a hegyekben;Heidi - Ein Sommer voll Glück;animáció;1993;Japán;Isao Takahata;;I (2008, F/8122/A, SELECT 86. KFT, 90 perc)
Helen a róka bébi;Kogitsune Helen;családi;2006;Japán;Keita Kono;Arashi Fukasawa/Yasuko Matsuyuki/Ryoko Kobayashi;II (2007, F/5065/J)
Hellboy II.;Hellboy II.: The Golden Army;kaland;2008;USA/Németország;Guillermo del Toro;Selma Blair/Ron Perlman/Doug Jones;II (2008, F/7809/J, UIP DUNA FILM KFT., 120 perc) / II (2009, F/7809/J, UNIVERSAL PICTURES H. KFT., 120 perc)
Hello Kitty;Hello Kitty;animáció;1993;Japán;Tony Oliver;Karen Bernstein/Harvey Atkin/Melissa Fahn;I (2007, F/6005/A, MIRAX, 30 perc)
Hello Kitty és barátai;Sanrio World of Animation;animáció;2001;Japán;;;I (2007, F/6509/A, 60 perc)
Hellraiser;Hellraiser;horror;1987;Nagy-Britannia;Clive Barker;Andrew Robinson/Ashley Laurence/Clare Higgins;IV (2005, F/1978/J)
Hellraiser 2 - Hellbound;Hellraiser 2. – Hellbound;horror;1988;Nagy-Britannia;Tony Randel;Ashley Laurence/Clare Higgins/Kenneth Cranham;IV (2005, F/1979/J)
Hellraiser 3 - Pokol a földön;Hellraiser 3. – Hell on Earth;horror;1992;Nagy-Britannia;Anthony Hickox;Lawrence Mortorff/Kevin Bernhardt/Terry Farrell;IV (2005, F/1980/J)
Hellraiser 7 - Halálos;Hellraiser: Deader;horror;2005;Románia/USA;Rick Bota;Paul Rhys/Simon Kunz/Kari Wuhrer;IV (2008, F/7445/J, SPI, 85 perc)
Hellraiser 8 - Hellworld;Hellraiser: Hellworld;horror;2005;USA;Rick Bota;Christopher Jacot/Lance Henriksen/Katheryn Winnick;IV (2008, F/7446/J, SPI, 91 perc)
Hellraiser - Pokolról pokolra;Hellraiser: Hellseeker;horror;2002;USA;Rick Bota;Ashley Laurence/Doug Bradley/Dean Winters; (2004, SPI International, 84 perc)
Hell Ride - Pokoljárás;Hell Ride;akció;2008;USA;Larry Bishop;Leonor Varela/Larry Bishop/Julia Jones;IV (2009, F/9621/J, ADS Service Kft., 84 perc)
Hely a szívemben;Places in my Heart;filmdráma;1984;USA;Robert Benton;Lindsay Crouse/Sally Field/Ed Harris;II (2005, F/1608/J)
Helyre vagy befutóra;Platz oder Sieg?;filmdráma;1981;NDK;Claus Dobberke;Ulrike Kunze/Detlev Giess/Rainer Kleinstück;Korhatár nélkül (1982, MOKÉP, 104 perc)
Helyzetek és gyakorlatok;Storytelling;vígjáték;2001;USA;Todd Solondz;Maria Thayer/Selma Blair/Leo Fitzpatrick;Csak 16 éven felülieknek (2002, BUDAPEST FILM, 87 perc)
Hemingway és én;Wrestling Ernest Hemingway;filmdráma;1993;USA;Randa Haines;Shirley MacLaine/Robert Duvall/Richard Harris;II (2006, F/3063/J)
Hemingway nyomában micheal palinnel;Michael Palin's Hemingway Adventure;természetfilm;1999;Nagy-Britannia;David F. Turnbull;Michael Palin;I (2006, F/3647/D)
Henry és june;Henry & June;erotikus;1990;USA;Philip Kaufman;Uma Thurman/Fred Ward/Marcia De Mederios;Csak 16 éven felülieknek (1991, DUNA FILM, 134 perc)
Henry fool;Henry Fool;filmdráma;1998;USA;Hal Hartley;Thomas Jay Ryan/James Urbaniak/Parker Posey;Csak 16 éven felülieknek (1999, BUDAPEST FILM, 112 perc)
Hepiendek;Happy endings;vígjáték;2005;USA;Don Roos;Steve Coogan/Lisa Kudrow/Jesse Bradford;III (2006, F/3081/J)
Hercegek és hercegnők;Princes et princesses;animáció;2000;Franciaország;Michel Ocelot;Yves Barsacq/Arlette Mirapeu/Philippe Cheytion;I (2009, F/7753/A, Best Hollywood, 70 perc)
Hercegnők bálja;Disney Princess Party;animáció;2004;USA;Dean Gordon;;I (2007, F/6061/A, INTERCOM, 51 perc)
Hercule és sherlock;Hercule et Sherlock;bűnügyi - vígjáték;1996;Franciaország;Jeannot Szwarc;Philippine Leroy-Beaulien/Christopher Lambert/Richard Anconina;Korhatár nélkül (1998, MOKÉP, 86 perc)
Hercules;Hercules;kaland;2005;USA;Roger Young;Bruce Allpress/Richard Anderton/Sean Astin;II (2006, F/4257/E) / II (2007, F/4257/E)
Hercules és Xena: Harc a Titánokkal;Hercules and Xena - The Animated Movie: The Battle for Mount Olympus;animáció;1998;USA;Lynne Naylor;Lucy Lawless/Renée O'Connor/Kevin Sorbo/Michael Hurst;II (2009, F/9002/A, BUDAPEST FILM, 80 perc)
Herkules;Hercules;animáció;1997;USA;John Musker/Ron Clements;;I (F/4529/A) / I (2006, F/3463/A) / Korhatár nélkül (1997, INTERCOM, 93 perc)
Herkules;Le Fatiche di Ercole;kaland;1958;Spanyolország/Olaszország;Pietro Francisci;Steve Reves/Ivo Garrani/Sylva Koscina;II (F/5346/J)
Herminamező - Szellemjárás;Herminamező - Szellemjárás;filmdráma;2005;Magyarország;Halász Péter;Takátsy Péter/Kari Györgyi/Diák István;III (2006, F/3273/J)
Hetedik;Se7en;thriller;1995;USA;David Fincher;Gwyneth Paltrow/Morgan Freeman/Brad Pitt;IV (F/8227/J) / Csak 18 éven felülieknek (1996, FLAMEX, 127 perc)
Hetedik érzék;Stir of echoes;horror;1999;USA;David Koepp;Kathryn Erbe/Kevin Bacon/Illeana Douglas;III (2006, F/3009/J) / Csak 16 éven felülieknek (2000, MOKÉP, 95 perc)
Hetedik mennyország;The 51st State;akció - vígjáték;2001;Kanada/Nagy-Britannia;Ronny Yu;Robert Carlyle/Emily Mortimer/Samuel L. Jackson/Meat Loaf;III (2008, F/6531/J, 92 perc)
Hetedik pecsét;Det Sjunde inseglet;filmdráma;1957;Svédország;Ingmar Bergman;Gunnar Björnstrand/Bengt Ekerot/Nils Poppe;II (2005, F/0602/J, CINETEL KFT.)
Heuréka;Eureka;thriller;1983;USA/Nagy-Britannia;Nicolas Roeg;Theresa Russell/Rutger Hauer/Gene Hackman;III (2008, F/7910/J, FANTASY FILM, 129 perc)
Heves jeges;Hibernatus;vígjáték;1969;Franciaország;Edouard Molinaro;Claude Gensac/Louis de Funes/Olivier de Funés;I (2004, F/0373/J, WARNER HOME VIDEO) / Korhatár nélkül (1990, BUDAPEST FILM, 82 perc)
Hevület;Impulse;thriller;2008;USA;Charles T. Kanganis;Robert Moloney/Angus Macfadyen/Willa Ford;IV (2008, F/7645/J, Fórum Home Entertainment, 101 perc)
Hé, Arnold!;Hey Arnold! The Movie;animáció;2002;USA;Tuck Tucker;Jamil Walker Smith/Francesca Smith/Spencer Klein;I (2010, F/10452/A, INTERCOM, 73 perc)
Hé, élet!;Täältä tullaan, elämä!;társadalmi dráma;1980;Finnország;Tapio Suominen;Pertti V. Reponen/Esa Niemela/Tony Holmström;Csak 16 éven felülieknek (1983, MOKÉP, 120 perc)
Hé, haver, hol a kocsim?;Dude, Where Is My Car?;vígjáték;2000;USA;Danny Leiner;Ashton Kutcher/Sean William Scott;14 éven aluliaknak nem ajánlott (2001, INTERCOM, 83 perc)
Hétalvó;Sleeper;vígjáték;1973;USA;Woody Allen;John Beck/Diane Keaton/Woody Allen;II (2007, F/7455/J, INTERCOM, 84 perc)
Hét élet;Seven Pounds;filmdráma;2008;USA;Gabriele Muccino;Barry Pepper/Woody Harrelson/Rosario Dawson/Will Smith;III (2009, F/8719/J, INTERCOM, 123 perc) /  (2009, 123 perc)
Hét év tibetben;Seven Years in Tibet;történelmi - dráma;1997;USA;Jean-Jacques Annaud;David Thewlis/Brad Pitt/B. D. Wong;II (2005, F/1952/J) / 14 éven aluliaknak nem ajánlott (1997, INTERCOM, 140 perc)
Hétfő;Poniedzialek;akció;1999;Lengyelország;Witold Adamek;Marek Bargielowski/Bolec/Pawel Kukiz;14 éven aluliaknak nem ajánlott (2000, BEST HOLLYWOOD KFT., 93 perc)
Hétfő reggel;Lundi matin;filmdráma;2002;Olaszország/Franciaország;Otar Iosseliani;Jacques Bidou/Narda Blanchet/Anne Kravz-Tarnavsky;14 éven aluliaknak nem ajánlott (2003, BUDAPEST FILM, 122 perc)
Hét januári nap;Sieta dias de enero;társadalmi dráma;1978;Spanyolország/Franciaország;Juan Antonio Bardem;Mataix/Manuel E. Martinez/Virginia Gonzales;14 éven aluliaknak nem ajánlott (1981, MOKÉP, 135 perc)
Hét kard;Chat gim;akció;2005;Dél-Korea/Hong Kong/Kína;Hark Tsui;Leon Lai/Donnie Yen/Charlie Yeung;III (2006, F/3254/J, 153 perc)
Hétköznapi emberek;Everyday people;filmdráma;2004;USA;Jim McKay;Earl Baker Jr./Steve Axelrod/Bridget Barkan;IV (2005, F/1797/J)
Hétköznapi őrület meséi;Storie di ordinaria follia;filmdráma;1981;Olaszország/Franciaország;Marco Ferreri;Susan Tyrrell/Ben Gazzara/Ornella Muti;IV (2007, F/6280/J, BUDAPEST FILM, 101 perc)
Hét különleges megbízott;Otrjad oszobovo naznacsenyija;háborús;1978;Szovjetunió;Vagyim Liszenko;Leonyid Sumszkij/Pavel Remezov/Leohard Merzin;Korhatár nélkül (1981, MOKÉP, 77 perc)
Hétmérföldes szerelem;Going the Distance;romantikus - vígjáték;2010;USA;Nanette Burstein;Drew Barrymore/Charlie Day/Justin Long;III (2010, F/10488/J, INTERCOM, 103 perc)
Hét perc a mennyországban;Sheva dakot be gan eden;filmdráma;2008;Izrael;Omri Givon;Eldad Fribas/Reymond Amsalem/Nadav Netz;II (2010, F/10392/J, Mozinet, 94 perc)
Hét tenger ördöge;The Sea Hawk;kaland;1940;USA;Michael Curtiz;Claude Rains/Errol Flynn/Brenda Marshall;I (2005, F/1414/J)
Hét tonna dollár;Hét tonna dollár;vígjáték;1973;Magyarország;Hintsch György;Kabos László/Bárdy György/Darvas Iván;I (2006, F/3716/J)
Hiába futsz;Nowhere to Run;akció;1993;USA;Robert Harmon;Rosanna Arquette/Jean-Claude Van Damme/Kieran Culkin;14 éven aluliaknak nem ajánlott (1993, INTERCOM, 102 perc)
Hibátlan gyémántok;Flawless;bűnügyi;2007;Luxembourg/Nagy-Britannia;Michael Radford;Michael Caine/Demi Moore/Lambert Wilson;II (2010, F/10670/J)
Hibátlanok;Flawless;filmdráma;1999;USA;Joel Schumacher;Robert De Niro/Philip Seymour Hoffman/Barry Miller;III (2005, F/0850/J, BUDAPEST FILM) / Csak 18 éven felülieknek (2000, BUDAPEST FILM, 112 perc)
Hibiszkuszháza;Fuzsung-csen;társadalmi dráma;1987;Kína;Hszie Csin;Li-ju Hsziao-csing/Csiang Ven/Cseng Caj-si;14 éven aluliaknak nem ajánlott (1990, MOKÉP, 135 perc)
Hibrid;Splice;thriller;2009;USA/Kanada/Franciaország;Vincenzo Natali;Sarah Polley/Adrien Brody/Delphine Chanéac;III (2010, F/10462/J, BUDAPEST FILM, 104 perc)
Hideg csontok;Fragile;horror;2005;Spanyolország;Jaume Balagueró;Calista Flockhart/Richard Roxburgh/Elena Anaya;III (2006, F/2891/J) / III (2006, F/2891/J, 93 perc)
Hideg fejjel;Straightheads;filmdráma;2007;Nagy-Britannia;Dan Reed;Danny Dyer/Gillian Anderson/Kate Bunten;IV (2007, F/6128/J, Fórum Home Entertainment, 80 perc)
Hideghegy;Cold Mountain;háborús;2003;USA;Anthony Minghella;Jude Law/Nicole Kidman/Renée Zellweger;III (2004, F/0070/J, INTERCOM) / Csak 16 éven felülieknek (2004, INTERCOM, 152 perc)
Hideglelés;Dreszcze;társadalmi dráma;1981;Lengyelország;Wojciech Marczewski;Teresa Marczewska/Tomasz Hudziec/Marek Kondrat;14 éven aluliaknak nem ajánlott (1986, MOKÉP, 112 perc)
Hideglelés - Bare Wench Project ;The Bare Wench Project;vígjáték;2000;USA;Jim Wynorski;Julie K. Smith/Nikki Fritz/Lorissa McComas;IV (2008, F/8134/J, Caesar Film International, 76 perc)
Hideg nyomon;Gone Baby Gone;bűnügyi;2007;USA;Ben Affleck;Ed Harris/Morgan Freeman/Michelle Monaghan/Casey Affleck;III (2009, F/6644/J, INTERCOM, 114 perc) / III (2008, F/6644/J, 114 perc)
Hidegtál;Buffet froid;vígjáték;1979;Franciaország;Bertrand Blier;Bernard Blier/Gérard Depardieu/Jean Carmet;III (2009, F/8699/J, 95 perc)
Hidegvérrel;In cold blood;bűnügyi;1967;USA;Richard Brooks;Scott Wilson/Robert Blake/Will Geer;III (2004, F/0154/J, FF FILM KFT.) / Csak 18 éven felülieknek (1980, MAGYAR FILMTUDOMÁNYI INTÉZET /Filmmúzeum/, 141 perc)
Hidegzuhany;Douches froides;filmdráma;2005;Franciaország;Antony Cordier;Johan Libéreau/Salomé Stévenin/Florence Thomassin;III (2006, F/3221/J) / III (2006, F/3221/J, 102 perc)
High School Musical 3. - Végzősök;High School Musical 3: Senior Year;vígjáték;2008;USA;Kenny Ortega;Zac Efron/Vanessa Anne Hudgens/Ashley Tisdale;I (2008, F/8249/J, Fórum Hungary, 107 perc) / I (2009, INTERCOM, 107 perc)
High School Musical - A koncert;High School Musical - The Concert;zenés;2007;USA;James Yukich;Corbin Bleu/Monique Coleman/Lucas Grabeel;II (2007, F/6079/J, INTERCOM, 57 perc)
High School Rock;Bandslam;vígjáték;2009;USA;Todd Graff;Alyson Michalka/Gaelan Connell/Vanessa Hudgens;II (2010, F/10517/J, Gamma Home Entertainment, 111 perc)
Higgy a pokolban;Believers;horror;2007;USA;Daniel Myrick;Daniel Benzali/Kyle Adahl/Jon Huertas;III (2007, F/6220/J, 102 perc)
Higgyetek nekem;Higgyetek nekem;filmdráma;1984;Magyarország;Mihályfy László;Reviczky Gábor/Páger Antal/Meszléry Judit;Korhatár nélkül (1985, MOKÉP, 82 perc)
Higgy neki, hisz zsaru;Internal Affairs;bűnügyi;1990;USA;Mike Figgis;Richard Gere/Andy Garcia/Nancy Travis;Csak 16 éven felülieknek (1990, DUNA FILM, 111 perc)
Hihetetlen dennis, a komisz;Incredible Dennis the Menace;animáció;2004;USA;;;I (2006, F/3829/A)
Hihetetlen igazság;The Unbelievable Truth;vígjáték;1989;USA;Hal Hartley;Adrienne Shelly/Robert John Burke/Chris Cooke;14 éven aluliaknak nem ajánlott (1993, BUDAPEST FILM, 90 perc)
Hihetetlen utazás;Turtle: The Incredible Journey;dokumentum;2009;Németország/Nagy-Britannia/Austria;Nick Stringer;;I (2010, F/10136/D, Best Hollywood, 81 perc)
Hilary és jackie;Hilary and Jackie;életrajzi;1998;Nagy-Britannia;Anand Tucker;James Frain/Rachel Griffiths/Emily Watson;14 éven aluliaknak nem ajánlott (1999, FLAMEX, 121 perc)
Hi-lo country;Hi-Lo Country;filmdráma;1998;Németország/USA/Nagy-Britannia;Stephen Frears;Woody Harrelson/Billy Crudup/Patricia Arquette;14 éven aluliaknak nem ajánlott (2000, BUDAPEST FILM, 114 perc) / III (F/7924/J)
Himalája - Az élet sója;Himalaya - l'enfance d'un chef;kaland;1999;Svédország/Franciaország/Nepál/Nagy-Britannia;Eric Valli;Lhakpa Tsamchoe/Gurgon Kyap/Thilen Lhondup;14 éven aluliaknak nem ajánlott (2003, SPI INTERNATIONAL MO. KFT., 108 perc)
Hindenburg;The Hindenburg;filmdráma;1975;USA;Robert Wise;Anne Bancroft/George C. Scott/William Atherton;II (2008, F/7389/J, Best Hollywood, 125 perc)
Hintó géppuskával;Tacsanka sz juga;kaland;1978;Szovjetunió;Jevgenyij Sersztobitov;Alekszandr Sztrigaljev/Georgij Dvornyikov/Sztanyiszlav Korenyev;Korhatár nélkül (1980, MOKÉP, 88 perc)
Hintőpor;Borotalco;vígjáték;1981;Olaszország;Carlo Verdone;Eleonora Giorgi/Carlo Verdone/Angelo Infanti;Korhatár nélkül (1987, MOKÉP, 102 perc)
Hipervándor;Jumper;sci-fi;2008;USA;Doug Liman;Hayden Christensen/Diane Lane/Jamie Bell;III (2008, F/6854/J, INTERCOM, 88 perc) / III (2008, F/6854/J, INTERCOM, 88 perc)
Hippolyt;Hippolyt;vígjáték;1999;Magyarország;Kabay Barna;Pogány Judit/Koltai Róbert/Eperjes Károly;I (1999, 93 perc) / II (2005, F/2047/J)
Hiroshima;Hiroshima;dokumentum;1995;USA;;Peter Jennings;II (2007, F/4505/D)
Hirtelen 30;13 Going On 30;romantikus - vígjáték;2004;USA;Gary Winick;Jennifer Garner/Judy Greer/Mark Ruffalo;II (2004, F/0008/J, INTERCOM, 98 perc)
Hirtelen halál;Sudden Death;akció;1995;USA;Peter Hyams;Raymond J. Barry/Jean-Claude Van Damme/Powers Boothe;III (F/8039/J) / Csak 16 éven felülieknek (1996, UIP DUNA FILM KFT., 111 perc)
Hiteles másolat ;Copie conforme;filmdráma;2010;Irán/Olaszország/Franciaország;Abbas Kiarostami;Jean-Claude Carriere/Juliette Binoche/William Shimell;II (2011, F/10525/J, Cirko, 106 perc)
Hitler végső döntése - A háború küszöbén;Countdown to War;filmdráma;1989;Nagy-Britannia;Patrick Lau;Michael Aldridge/Peter Vaughan/Ian McKellen;II (2007, F/6210/J, FANTASY FILM, 90 perc)
Hitman - A bérgyilkos;Hitman;akció;2007;USA/Franciaország;Xavier Gens;Timothy Olyphant/Olga Kurylenko/Dougray Scott;III (2008, F/6492/J, INTERCOM, 93 perc) / III (2007, F/6492/J, 93 perc)
Hitvallók és ügynökök;Hitvallók és ügynökök;dokumentum;2009;Magyarország;Pacsay Attila/Petényi Katalin/Kabay Barna;;II (2009, F/9283/D, 93 perc) / II (2010, Klub Publishing Kft., 93 perc)
Hitvallók és ügynökök - Az igazság szabaddá tesz benneteket;Hitvallók és ügynökök;dokumentum;2009;Magyarország;Petényi Katalin/Kabay Barna;;II (2009, Európa 2000, 93 perc) / II (2010, F/9284/D, Klub Publising, 93 perc)
Hitvallók és ügynökök  Az igazság szabaddá tesz benneteket  (200 perc);Hitvallók és ügynökök  Az igazság szabaddá tesz benneteket … (200 perc);;;;;;II (F/9282/D)
Hiú ábrándok;Another Life;bűnügyi;2001;Nagy-Britannia;Philip Goodhew;Nick Moran/Natasha Little/Ioan Gruffudd;III (2008, F/7782/J, Cinetel, 101 perc)
Hiúságok máglyája;The Bonfire of the Vanities;filmdráma;1990;USA;Brian De Palma;Melanie Griffith/Tom Hanks/Bruce Willis;III (2007, F/4860/J) / 14 éven aluliaknak nem ajánlott (1991, INTERCOM, 132 perc)
Hiúság vására;Vanity Fair;filmdráma;2004;Nagy-Britannia/USA;Mira Nair;Gabriel Byrne/Roger Lloyd-Pack/Angelica Mandy;II (F/6879/E) / II (2005, F/1245/J) / II (2005, F/1245/J, 141 perc)
Hiúz a vadászösvényen;Risz vihogyit na tropu;természetfilm;1982;Szovjetunió;Agaszi Babajan;Dimitrij Orlovszkij/Szergej Jurtajkin/Filimon Szergejev;Korhatár nélkül (1985, MOKÉP, 73 perc)
Hivatali patkányok;Office Space;vígjáték;1999;USA;Mike Judge;Ron Livingston/David Herman/Jennifer Aniston;14 éven aluliaknak nem ajánlott (1999, INTERCOM, 89 perc)
Híd a kwai folyón
;Bridge on the river Kwai
;filmdráma;1957;Nagy-Britannia;David Lean;Alec Guinness/Jack Hawkins/William Holden;II (F/7479/J) / 14 éven aluliaknak nem ajánlott (1988, BUDAPEST FILM, 161 perc)
Híd a terebithia földjére;Bridge to Terabithia;kaland;2007;USA;Gabor Csupo;Josh Hutcherson/AnnaSophia Robb/Zooey Deschanel;II (2007, F/4599/J) / II (2007, F/4697/J) / II (2007, F/4697/J, 95 perc)
Hídember;A hídember;filmdráma;2002;Magyarország;Bereményi Géza;Eperjes Károly/Irina Latchina/Darvas Iván;Korhatár nélkül (2002, BUDAPEST FILM, 145 perc)
Hírek szerelmesei;Up Close and Personal;romantikus - dráma;1996;USA;Jon Avnet;Robert Redford/Joe Mantegna/Michelle Pfeiffer;14 éven aluliaknak nem ajánlott (1996, INTERCOM, 125 perc)
Hírnök;The Messengers;horror;2007;USA;Danny Pang/Oxide Pang Chun;Penelope Ann Miller/John Corbett/Dylan McDermott/Kristen Stewart;IV (2008, F/5464/J, BUDAPEST FILM, 84 perc)
Hívatlanok;The Strangers;horror;2008;USA;Bryan Bertino;Liv Tyler/Scott Speedman/Gemma Ward;III (2009, Fórum Home Entertainment, 86 perc) / III (2008, F/7922/J, Fórum Hungary, 86 perc)
Hívatlan vendég;The Uninvited;horror;2009;Németország/Kanada/USA;Charles Guard/Thomas Guard;Emily Browning/Arielle Kebbel/David Strathairn;III (2009, F/9559/J, INTERCOM, 87 perc)
Hív az óceán;Morning Light;dokumentum;2008;USA;Mark Monroe;Chris Branning/Graham Brant-Zawadzki/Chris Clark;I (2009, F/9524/D, INTERCOM, 100 perc)
Hívd a rádiót;Talk Radio;filmdráma;1988;USA;Oliver Stone;Eric Bogosian/Ellen Greene/Alec Baldwin;14 éven aluliaknak nem ajánlott (1990, MOKÉP, 109 perc)
Hoffman;Hoffman;vígjáték;1970;Nagy-Britannia;Alvin Rakoff;Ruth Dunning/Sinéad Cusack/Peter Sellers;II (2007, F/5474/J, CAESAR FILM, 113 perc)
Hogyan csináljunk svájcit?;Schweizermacher;szatíra;1978;Svájc;Rolf Lyssy;Emil Steinberger/Walo Lüönd/Beatrice Kessler;Korhatár nélkül (1982, MOKÉP, 109 perc)
Hogyan felejtsük el életünk legnagyobb szerelmét..?;Hogyan felejtsük el életünk legnagyobb szerelmét…?;szatíra;1979;Magyarország;Szász Péter;Begányi Ferenc/Pécsi Ildikó/Avar István;14 éven aluliaknak nem ajánlott (1980, MOKÉP, 117 perc)
Hogyan lett az ember?;Odyssée de l\'espece, L\';dokumentum;2003;Franciaország/Kanada;Jacques Malaterre;;I (2005, F/2288/D)
Hogyan lett az ember?;Homo sapiens;dokumentum;2005;Franciaország;Jacques Malaterre/Chip Proser;;I (2007, F/4964/D) / I (2005, F/4964/D)
Hogyan lettem vezérigazgató;Carambolages;vígjáték;1963;Franciaország;Marcel Bluwal;Jean-Claude Brialy/Louis de Funes/Michel Serrault;II (2006, F/4259/J)
Hogyan öljük meg a feleségünket?;How to Murder Your Wife;vígjáték;1965;USA;Richard Quine;Jack Lemmon/Virna Lisi/Terry-Thomas;II (2008, F/8358/J, FANTASY FILM, 118 perc)
Hogyan töltöttem a világvégét;Cum mi-am petrecut sfarsitul lumii;filmdráma;2006;Románia/Franciaország;Catalin Mitulescu;Doroteea Petre/Timotei Duma/Ionut Becheru;II (2007, F/5075/J, 106 perc)
Hogyan veszítsünk el egy pasit 10 nap alatt;How to Lose a Guy in 10 Days;vígjáték;2003;USA;Donald Petrie;Kate Hudson/Matthew McConaughey/Kathryn Hahn;14 éven aluliaknak nem ajánlott (2003, UIP DUNA FILM KFT., 116 perc) / II (F/8220/J)
Hogy veszítsük el barátainkat és idegenítsük el az embereket?;How to Lose Friends & Alienate People;romantikus - vígjáték;2008;Nagy-Britannia;Robert B. Weide;Megan Fox/Simon Pegg/Kirsten Dunst;III (2010, F/10162/J, ADS Service Kft.)
Hol az ördögben van Oszama bin Laden?;Where in the World Is Osama Bin Laden?;dokumentum;2008;Franciaország/USA;Morgan Spurlock;Morgan Spurlock;II (2008, F/7843/J, ADS Service Kft., 93 perc)
Hold;Moon;sci-fi;2009;Nagy-Britannia;Duncan Jones;Matt Berry/Kevin Spacey/Sam Rockwell;II (2009, F/9659/J, Szuez Film Kft., 97 perc) / II (2010, ADS Service Kft., 97 perc)
Holdfényszelence;Box Of Moonlight;vígjáték;1996;USA;Tom Dicillo;John Torturro/Sam Rockwell/Catherine Keener;14 éven aluliaknak nem ajánlott (1997, BUDAPEST FILM, 111 perc)
Holdhercegnő;The Secret of Moonacre;kaland;2008;Nagy-Britannia/Franciaország/Magyarország;Gabor Csupo;Tim Curry/Natascha McElhone/Dakota Blue Richards;II (2010, Hungaricom, 103 perc) / II (2008, F/9405/J, Hungaricom, 103 perc)
Holdtölte texasban;Houston, Texas;dokumentum;1980;Franciaország;François Reichenbach;Charles William Bass/Carl Kent;14 éven aluliaknak nem ajánlott (1984, MOKÉP, 83 perc)
Holiday;The Holiday;romantikus - vígjáték;2006;USA;Nancy Meyers;Kate Winslet/Cameron Diaz/Jude Law;II (2006, F/4550/J, 138 perc)
Holiday in the sun;Holiday in the Sun;vígjáték;2001;USA;Steve Purcell;Ashley Olsen/Mary-Kate Olsen/Austin Nichols;I (2005, F/2391/J)
Hollandia;Hollandia (Tavaszköszöntés Hollandiában);útifilm;2002;Magyarország;Meronka Péter;;I (2008, F/6811/E, 	 Caesar Film International, 32 perc)
Holland mesterek: van gogh;Dutch Masters: Van Gogh;dokumentum;2005;USA;;;I (2006, F/3754/D)
Holló 3 - A megváltás;The Crow: Salvation;thriller;2000;Németország/USA;Bharat Nalluri;Kirsten Dunst/William Atherton/Eric Mabius;IV (2005, F/2462/J)
Holnapnál jobb a tegnap;Plus Qu'Hier Moius Que Demain;filmdráma;1998;Franciaország;Laurent Achard;Laetitia Legrix/Martin Michelich/Mireille Roussel;14 éven aluliaknak nem ajánlott (2000, BUDAPEST FILM, 86 perc)
Holnapután;The day after tomorrow;katasztrófa;2004;USA;Roland Emmerich;Emmy Rossum/Dennis Quaid/Jake Gyllenhaal;III (2004, F/0216/J, INTERCOM)
Holnemvolt;Jára Cimrman;szatíra;1983;Csehszlovákia;Ladislav Smoljak;Zdenek Sverák/Petr Cepek/Josef Abrahám;14 éven aluliaknak nem ajánlott (1984, MOKÉP, 88 perc)
Holtak földje;Land of the dead;horror;2005;Franciaország/Kanada/USA;George A. Romero;John Leguizamo/Dennis Hopper/Simon Baker;IV (2005, F/1872/J, 93 perc)
